iso3,year,life_expectancy_years,population_total,maternal_mortality_ratio,gdp_current_usd,gdp_real_growth_pct,wb_life_expectancy_benin__country.value,wb_life_expectancy_benin__indicator.id,wb_life_expectancy_benin__indicator.value,wb_life_expectancy_benin__unit,wb_life_expectancy_benin__obs_status,wb_population_total_benin__country.value,wb_population_total_benin__indicator.id,wb_population_total_benin__indicator.value,wb_population_total_benin__unit,wb_population_total_benin__obs_status,wb_maternal_mortality_benin__country.value,wb_maternal_mortality_benin__indicator.id,wb_maternal_mortality_benin__indicator.value,wb_maternal_mortality_benin__unit,wb_maternal_mortality_benin__obs_status,wb_gdp_current_usd_benin__country.value,wb_gdp_current_usd_benin__indicator.id,wb_gdp_current_usd_benin__indicator.value,wb_gdp_current_usd_benin__unit,wb_gdp_current_usd_benin__obs_status,wb_gdp_real_growth_benin__country.value,wb_gdp_real_growth_benin__indicator.id,wb_gdp_real_growth_benin__indicator.value,wb_gdp_real_growth_benin__unit,wb_gdp_real_growth_benin__obs_status
BEN,1960,38.775,2517286,,226195578.434497,,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1961,39.233,2559223,,235668220.508202,3.14128045641213,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1962,39.643,2604659,,236434954.038578,-3.42640982098587,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1963,40.081,2652908,,253927697.25805,4.7300279709188,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1964,40.502,2704003,,269819005.87814,6.65075912824808,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1965,40.971,2757936,,289908680.426395,5.29386282871174,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1966,41.274,2814317,,302925235.151997,3.57586273248711,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1967,41.759,2872997,,306221953.104911,1.07839866664565,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1968,42.182,2934257,,326323105.26476,3.84233563459493,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
BEN,1969,42.591,2998222,,330748244.539574,2.87749797403703,Benin,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",,,Benin,SP.POP.TOTL,"Population, total",,,Benin,SH.STA.MMRT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,Benin,NY.GDP.MKTP.CD,GDP (current US$),,,Benin,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,
