iso3,year,population_total,gdp_current_usd,gdp_real_growth_pct,life_expectancy_years,maternal_mortality_ratio
BEN,1960,2517286,226195578.434497,,38.775,
BEN,1961,2559223,235668220.508202,3.14128045641213,39.233,
BEN,1962,2604659,236434954.038578,-3.42640982098587,39.643,
BEN,1963,2652908,253927697.25805,4.7300279709188,40.081,
BEN,1964,2704003,269819005.87814,6.65075912824808,40.502,
BEN,1965,2757936,289908680.426395,5.29386282871174,40.971,
BEN,1966,2814317,302925235.151997,3.57586273248711,41.274,
BEN,1967,2872997,306221953.104911,1.07839866664565,41.759,
BEN,1968,2934257,326323105.26476,3.84233563459493,42.182,
BEN,1969,2998222,330748244.539574,2.87749797403703,42.591,
BEN,1970,3065057,333627713.494438,2.09775758051059,43.029,
BEN,1971,3134767,335073027.54117,-1.4968418264467,43.391,
BEN,1972,3207543,410331856.991218,6.4263675448305,43.928,
BEN,1973,3283496,504376074.185709,3.70616531907105,44.435,
BEN,1974,3362633,554654860.702577,3.33931215742955,44.876,
BEN,1975,3445407,676870140.341529,-4.89534544658655,45.405,
BEN,1976,3532196,698408261.922237,0.884356332845641,45.952,
BEN,1977,3623202,750049778.84069,4.98366372995041,46.504,
BEN,1978,3718305,928843469.431727,1.25507802775073,46.941,
BEN,1979,3818528,1186231019.82044,6.53574741502341,47.362,
BEN,1980,3925251,1405251846.54048,6.78176386785228,47.747,
BEN,1981,4038307,1291120188.43104,9.95423116708119,48.122,
BEN,1982,4156596,1267778670.35902,2.23506634402393,48.493,
BEN,1983,4278978,1095348199.43911,-4.34782273516674,48.845,
BEN,1984,4405895,1051134008.78979,7.92983956551727,49.399,
BEN,1985,4538012,1045712789.14884,7.53032483806271,49.959,910.0
BEN,1986,4675420,1336102025.27763,2.17114159792595,50.632,858.0
BEN,1987,4818486,1562412227.90058,-1.50000295231442,51.258,817.0
BEN,1988,4967341,1620246083.79478,3.40524529583226,52.019,765.0
BEN,1989,5121657,1502294416.17129,-2.85416049622336,52.45,732.0
BEN,1990,5281479,1959965330.14765,8.9761343599898,53.02,692.0
BEN,1991,5446932,1986437796.53053,4.22579942071668,53.441,666.0
BEN,1992,5617844,1695315305.70308,2.95771082720395,54.137,625.0
BEN,1993,5872706,2274558082.76135,5.83617208501383,54.612,591.0
BEN,1994,6096506,1598075943.86774,2.02040044761662,54.988,605.0
BEN,1995,6226773,2169627137.9207,6.04519865041564,55.366,586.0
BEN,1996,6391858,2361116449.39308,4.32428403131786,55.648,576.0
BEN,1997,6583365,2268301646.46707,5.73468837521307,55.986,556.0
BEN,1998,6789489,2455092686.34712,3.96101213832645,56.154,547.0
BEN,1999,7002818,3677393998.74486,5.34144937204417,56.336,536.0
BEN,2000,7221619,3519991440.47913,5.85771420543269,56.594,529.0
BEN,2001,7445596,3666222635.13875,5.33313570603937,56.654,532.0
BEN,2002,7675426,4194342686.2178,4.64303087074482,56.851,534.0
BEN,2003,7913070,5349258094.48239,3.44357677591658,57.092,532.0
BEN,2004,8159094,6190270380.49856,4.42968455385082,57.346,531.0
BEN,2005,8426144,6567654954.38903,1.71316456361184,57.738,514.0
BEN,2006,8693242,7034111314.88812,3.94373882815798,57.966,509.0
BEN,2007,8953969,8169048382.83875,5.98634932177609,58.249,501.0
BEN,2008,9228466,9787734526.23965,4.89657708429647,58.099,563.0
BEN,2009,9509423,9738626517.00319,2.31929213912838,58.258,598.0
BEN,2010,9797484,9535345015.78355,2.11406472648392,58.387,607.0
BEN,2011,10093623,10693321363.6574,2.96375291904201,58.462,613.0
BEN,2012,10397657,11141358115.8991,4.811223315688,58.559,618.0
BEN,2013,10708834,12517845123.9315,7.19143372144946,58.863,607.0
BEN,2014,11030004,13284527846.9081,6.35767909791932,59.008,605.0
BEN,2015,11360681,11388160996.7738,1.77815106030278,59.123,606.0
BEN,2016,11697842,11821065853.3838,3.33967342629693,59.283,604.0
BEN,2017,12039780,12701655836.9467,5.67156195150444,59.528,592.0
BEN,2018,12383347,14262408089.9261,6.69725362180888,59.71,585.0
BEN,2019,12726755,14391686313.4641,6.86568662848335,59.888,572.0
BEN,2020,13070169,15686741893.5187,3.84879240030133,60.154,578.0
BEN,2021,13413417,17687623534.6665,7.1554516457574,59.61,584.0
BEN,2022,13759501,17425405083.8797,6.25294705373625,60.475,547.0
BEN,2023,14111034,19673290995.8491,6.3527773854442,60.774,518.0
BEN,2024,14462724,21482643720.2743,7.45311566226201,,
